139.08  17.27
143.16  23.62
147.25  30.08
151.32  36.43
155.40  42.89
159.48  49.24
163.56  55.70
167.64  62.05
171.72  68.51
175.80  74.86
179.88  81.32
183.97  87.67
188.04  94.13
192.12 100.48
196.20 106.94
200.28 113.29
204.36 119.75
208.44 126.10
212.52 132.56
216.60 138.91
220.69 145.37
224.76 151.72
228.84 158.17
232.92 164.52
237.00 170.98
241.08 177.33
245.16 183.79
249.25 190.14
253.32 196.60
257.40 202.95
261.48 209.41
265.57 215.76
269.64 222.22
273.72 228.57
277.80 235.03
281.89 241.38
285.96 247.84
290.04 254.19
294.13 260.65
298.20 267.00
302.28 273.46
306.36 279.81
310.45 286.27
314.52 292.62
318.60 299.08
322.69 305.43
326.76 311.88
330.84 318.23
334.92 324.69
339.01 331.04
343.08 337.50
347.16 343.85
351.25 350.31
355.32 356.66
359.40 363.12
363.48 369.47
367.57 375.93
371.64 382.28
375.72 388.74
379.80 395.09
383.88 401.55
387.96 407.90

